"Rates", "Tasas"
"Mortgage Simulator", "Simulador Hipotecario"
"Add Rate", "Añadir tasa"
"New Rate", "Nueva tasa"
"Amount Since", "Monto desde"
"Amount To", "Monto hasta"
"5 Years", "5 Años"
"8 Years", "8 Años"
"10 Years", "10 Años"
"12 Years", "12 Años"
"15 Years", "15 Años"
"18 Years", "18 Años"
"20 Years", "20 Años"
"25 Years", "25 Años"
"30 Years", "30 Años"
"UF Value", "Valor UF"
"UF Date", "Fecha UF"
"Terms", "Plazos"
"Add Term", "Añadir plazo"
"New Term", "Nuevo plazo"
"Option 1", "Opción 1"
"Option 2", "Opción 2"
"Option 3", "Opción 3"
